total_sqft,bath,balcony,site_location,bhk,age,parking,floor_level,furnishing,distance,property_type,security
1508,1,2,Salunke Vihar,3,25,Yes,Top,Furnished,4.6,Villa,No
2643,3,2,Khadaki,1,28,No,Top,Unfurnished,0.7,Independent House,No
2187,2,2,Karve Nagar,2,26,No,Ground,Furnished,3.9,Independent House,No
3210,1,1,Pirangut,1,7,Yes,Middle,Unfurnished,1.7,Villa,Yes
3761,4,2,Mangalwar peth,2,8,Yes,Top,Furnished,1.7,Apartment,Yes
536,2,1,Hadapsar,3,19,Yes,Middle,Furnished,3.2,Independent House,No
3940,3,1,Rasta Peth,2,22,Yes,Ground,Furnished,1.0,Apartment,No
2048,4,1,Model colony,3,15,No,Middle,Unfurnished,7.0,Independent House,Yes
2826,4,2,Raviwar Peth,1,10,No,Top,Semi-Furnished,1.2,Apartment,Yes
2764,1,2,Lulla Nagar,2,22,Yes,Middle,Furnished,2.4,Apartment,Yes
3414,2,2,Sahakar Nagar,4,29,Yes,Middle,Furnished,1.4,Villa,No
1372,4,1,Khadki,4,1,No,Ground,Furnished,1.1,Apartment,No
2321,3,1,Camp,1,6,Yes,Ground,Unfurnished,3.0,Independent House,No
1796,2,2,Karve Nagar,2,13,No,Ground,Semi-Furnished,5.9,Apartment,Yes
2609,3,1,Camp,4,14,Yes,Ground,Unfurnished,9.7,Apartment,No
1095,4,1,Aundh Road,3,3,No,Middle,Furnished,8.8,Apartment,No
2403,3,2,Wanowrie,2,11,Yes,Middle,Unfurnished,8.8,Independent House,No
1228,1,2,Somwar Peth,2,3,Yes,Ground,Furnished,2.2,Independent House,No
1865,3,2,Manik Bagh,4,19,Yes,Ground,Furnished,3.0,Independent House,No
896,2,1,Lulla Nagar,3,10,No,Top,Unfurnished,1.2,Apartment,No
1198,3,1,Bhavani Peth,3,27,No,Top,Furnished,7.9,Villa,Yes
3590,3,1,Bopodi,3,15,Yes,Ground,Furnished,1.2,Independent House,No
2724,1,1,Aundh,2,11,Yes,Middle,Semi-Furnished,5.8,Apartment,Yes
2135,3,1,Yerawada,1,15,Yes,Ground,Unfurnished,2.9,Independent House,Yes
895,3,2,Deccan Gymkhana,2,26,Yes,Middle,Unfurnished,2.8,Villa,Yes
2992,4,1,Shivaji Nagar,2,27,No,Middle,Furnished,9.9,Apartment,No
3804,4,1,Jangali Maharaj Road,4,24,No,Top,Furnished,7.7,Independent House,No
575,2,1,Fergusson College Road,1,13,No,Ground,Unfurnished,8.5,Independent House,No
764,4,2,Vadgaon Budruk,3,5,Yes,Ground,Unfurnished,5.9,Villa,No
3002,4,2,Sasson Road,4,4,Yes,Middle,Unfurnished,8.8,Independent House,Yes
2319,4,2,Jangali Maharaj Road,2,13,No,Ground,Furnished,6.6,Apartment,No
1217,4,1,Paud Road,1,9,Yes,Top,Semi-Furnished,9.5,Apartment,Yes
3282,1,2,Bhandarkar Road,3,25,No,Top,Semi-Furnished,3.2,Villa,No
3955,4,2,Narayan Peth,3,17,No,Ground,Furnished,6.2,Villa,No
1350,1,2,Mangalwar peth,2,2,No,Ground,Furnished,7.1,Villa,Yes
1890,1,1,Deccan Gymkhana,3,24,No,Top,Furnished,4.2,Apartment,Yes
643,4,2,Khadki,3,5,Yes,Ground,Unfurnished,8.9,Villa,Yes
1384,3,1,Hingne Khurd,1,16,No,Middle,Furnished,9.8,Independent House,No
3640,1,1,Navi Peth,4,7,Yes,Ground,Unfurnished,5.2,Independent House,Yes
3670,3,2,Senapati Bapat Road,1,1,No,Middle,Semi-Furnished,4.2,Apartment,Yes
895,3,1,Aundh,4,28,No,Ground,Furnished,5.0,Independent House,Yes
3596,4,2,Wanowrie,4,26,No,Ground,Furnished,8.6,Villa,No
3495,2,1,Katraj,4,12,No,Top,Unfurnished,6.6,Independent House,Yes
3438,4,2,Kondhwa,3,21,Yes,Middle,Unfurnished,0.9,Villa,Yes
1992,2,2,Laxmi Road,1,11,Yes,Top,Unfurnished,5.7,Independent House,No
3722,2,2,Shaniwar Peth,3,12,Yes,Ground,Semi-Furnished,0.7,Apartment,Yes
1667,4,1,Ghorpade Peth,2,19,Yes,Top,Semi-Furnished,7.9,Villa,Yes
3116,4,2,Khadaki,1,26,No,Ground,Furnished,3.6,Independent House,Yes
1562,2,1,Shivaji Nagar,4,12,Yes,Ground,Furnished,5.0,Apartment,No
2656,4,2,Sasson Road,3,12,Yes,Ground,Unfurnished,8.1,Independent House,Yes
1565,2,1,Prabhat Road,3,14,No,Middle,Semi-Furnished,0.9,Apartment,Yes
1709,3,1,Alandi Road,1,2,Yes,Middle,Furnished,2.0,Independent House,Yes
3482,4,2,Karve Road,1,2,Yes,Middle,Unfurnished,4.3,Villa,Yes
2945,3,2,Wadgaon Sheri,4,25,Yes,Top,Unfurnished,2.7,Villa,Yes
3794,1,2,Dapodi,4,29,Yes,Ground,Semi-Furnished,3.7,Villa,Yes
1133,3,2,Wagholi,2,4,No,Top,Semi-Furnished,10.0,Villa,Yes
1656,3,2,Viman Nagar,4,20,No,Top,Furnished,8.3,Villa,No
3734,2,1,Hingne Khurd,3,23,Yes,Ground,Furnished,8.9,Independent House,No
1738,3,2,Kondhwa Budruk,2,26,No,Top,Unfurnished,9.4,Independent House,No
1232,4,2,Khadaki,2,16,Yes,Ground,Unfurnished,3.7,Independent House,Yes
734,2,1,Karve Road,2,10,Yes,Ground,Unfurnished,3.3,Independent House,No
3205,1,2,Wadgaon Sheri,1,13,Yes,Ground,Furnished,2.7,Villa,Yes
1250,4,2,Law College Road,4,2,No,Ground,Semi-Furnished,8.4,Apartment,Yes
3135,1,1,Narayangaon,2,3,No,Top,Furnished,7.0,Villa,Yes
3580,3,2,Karve Nagar,1,19,No,Top,Semi-Furnished,2.7,Independent House,No
3645,4,2,Erandwane,1,6,No,Top,Furnished,4.1,Villa,No
1453,4,2,Dhole Patil Road,2,19,No,Middle,Furnished,5.3,Villa,Yes
3039,1,1,Aundh,2,27,No,Top,Semi-Furnished,5.5,Villa,Yes
3460,4,2,Law College Road,3,21,Yes,Top,Furnished,8.9,Apartment,No
3824,4,1,Nagar Road,2,20,No,Middle,Furnished,4.1,Villa,No
3801,4,2,Sadashiv Peth,3,19,Yes,Ground,Unfurnished,9.1,Villa,No
2042,3,1,Pirangut,2,8,Yes,Ground,Semi-Furnished,4.7,Apartment,No
1697,1,2,Rasta Peth,2,14,No,Ground,Semi-Furnished,7.6,Villa,No
2176,4,1,Vadgaon Budruk,4,10,Yes,Middle,Unfurnished,9.3,Villa,No
1691,2,1,Ambegaon Budruk,2,3,Yes,Top,Semi-Furnished,9.1,Villa,No
2717,2,1,Law College Road,2,6,Yes,Top,Unfurnished,1.0,Villa,Yes
1916,2,1,Viman Nagar,3,29,No,Top,Semi-Furnished,2.5,Villa,Yes
3493,2,1,Yerawada,3,15,No,Top,Semi-Furnished,5.0,Independent House,No
3342,3,1,Gultekdi,4,23,Yes,Middle,Semi-Furnished,4.6,Villa,No
3181,4,2,Kasba Peth,2,23,No,Top,Semi-Furnished,6.6,Apartment,Yes
1717,1,2,Kothrud,2,18,Yes,Ground,Unfurnished,9.5,Villa,No
2040,4,1,Lulla Nagar,3,14,No,Middle,Unfurnished,1.6,Independent House,Yes
2576,3,1,Khadki,1,19,Yes,Middle,Semi-Furnished,4.8,Apartment,Yes
3736,2,1,Market yard,1,28,Yes,Ground,Furnished,2.3,Apartment,No
1945,3,1,Viman Nagar,1,26,No,Ground,Unfurnished,9.0,Villa,Yes
2886,4,2,Law College Road,3,10,No,Top,Semi-Furnished,9.7,Independent House,No
2019,1,1,Wadgaon Sheri,3,15,No,Ground,Unfurnished,5.0,Villa,No
1888,3,2,Shivaji Nagar,1,4,No,Middle,Furnished,1.5,Independent House,Yes
2356,1,2,Mukund Nagar,1,23,No,Middle,Furnished,8.0,Independent House,Yes
1865,3,1,Satara Road,2,2,Yes,Middle,Furnished,7.1,Villa,Yes
999,1,1,Camp,3,3,Yes,Top,Semi-Furnished,3.9,Independent House,No
2180,1,2,Ganeshkhind,3,7,Yes,Top,Semi-Furnished,8.9,Villa,No
1010,2,2,Pirangut,1,23,No,Ground,Furnished,9.8,Independent House,No
3898,1,1,Shivaji Nagar,1,16,No,Top,Unfurnished,5.8,Apartment,No
716,2,1,Padmavati,4,10,Yes,Top,Unfurnished,5.9,Villa,No
1824,4,1,Warje,3,19,Yes,Middle,Furnished,3.3,Independent House,No
1655,4,2,Gokhale Nagar,4,28,Yes,Middle,Semi-Furnished,6.1,Apartment,No
2327,2,2,Jangali Maharaj Road,2,17,Yes,Ground,Unfurnished,4.7,Apartment,Yes
3641,2,1,Paud Road,4,28,No,Middle,Unfurnished,3.4,Apartment,No
3823,3,2,Uruli Devachi,1,19,Yes,Top,Unfurnished,1.1,Apartment,Yes
3986,3,2,Uruli Devachi,3,5,No,Ground,Semi-Furnished,2.9,Villa,Yes
2310,3,1,Law College Road,3,23,Yes,Ground,Furnished,2.4,Independent House,No
2992,4,1,Sasson Road,4,20,No,Middle,Semi-Furnished,5.6,Apartment,Yes
3423,3,2,Market yard,4,13,No,Middle,Unfurnished,6.2,Independent House,Yes
1705,1,2,Tilak Road,2,13,No,Middle,Furnished,6.3,Independent House,Yes
2714,1,1,Model colony,2,11,No,Ground,Semi-Furnished,4.2,Independent House,No
590,3,1,Pirangut,1,11,Yes,Middle,Furnished,4.5,Villa,Yes
1213,1,1,Yerawada,1,16,Yes,Top,Unfurnished,8.4,Villa,No
2381,4,1,Kharadi,1,15,Yes,Ground,Semi-Furnished,5.0,Apartment,No
538,1,1,Gultekdi,4,17,No,Middle,Furnished,9.9,Independent House,No
3697,4,2,Mundhawa,4,22,Yes,Top,Semi-Furnished,4.7,Villa,Yes
672,2,2,Vadgaon Budruk,3,18,Yes,Top,Unfurnished,6.7,Villa,Yes
1152,2,2,Mangalwar peth,1,28,Yes,Middle,Furnished,1.0,Villa,No
1253,2,2,Swargate,4,19,No,Top,Unfurnished,6.7,Apartment,No
1743,2,1,Shaniwar Peth,3,4,No,Ground,Furnished,8.6,Villa,No
1581,1,1,Erandwane,1,22,No,Ground,Unfurnished,9.5,Independent House,Yes
2183,3,1,Ghorpade Peth,2,22,Yes,Top,Unfurnished,10.0,Villa,Yes
3023,1,2,Chandan Nagar,2,23,Yes,Ground,Semi-Furnished,3.2,Villa,Yes
955,4,2,Kalyani Nagar,4,5,Yes,Middle,Unfurnished,6.0,Apartment,Yes
1328,1,2,Dhayari Phata,3,7,No,Top,Semi-Furnished,4.8,Independent House,Yes
1394,1,1,Shaniwar Peth,2,2,Yes,Ground,Unfurnished,5.9,Villa,Yes
1884,4,2,Dapodi,3,1,No,Middle,Unfurnished,2.0,Independent House,Yes
2458,2,1,Kalyani Nagar,3,12,No,Middle,Unfurnished,8.6,Independent House,No
3572,2,1,Satara Road,2,10,No,Ground,Furnished,9.1,Villa,Yes
2934,2,1,Dehu Road,3,8,No,Top,Semi-Furnished,4.8,Apartment,No
2496,3,1,Gokhale Nagar,2,1,Yes,Middle,Furnished,3.2,Independent House,Yes
2895,4,1,Kondhwa,4,12,Yes,Middle,Semi-Furnished,1.8,Villa,No
689,4,1,Deccan Gymkhana,1,2,No,Middle,Unfurnished,7.0,Independent House,Yes
1004,1,2,Senapati Bapat Road,1,27,Yes,Middle,Furnished,3.5,Independent House,Yes
1714,3,1,Narayangaon,4,28,No,Top,Semi-Furnished,9.1,Independent House,Yes
2031,2,1,Jangali Maharaj Road,2,10,Yes,Ground,Unfurnished,6.9,Villa,No
3940,3,2,Swargate,2,22,Yes,Ground,Semi-Furnished,6.6,Independent House,Yes
3980,4,1,Mahatma Gandhi Road,2,17,No,Ground,Semi-Furnished,5.8,Independent House,Yes
1323,4,2,Dehu Road,2,26,No,Middle,Unfurnished,0.9,Apartment,No
1428,1,2,Kharadi,4,3,No,Top,Furnished,9.4,Villa,Yes
1433,1,2,Baner,1,7,No,Ground,Unfurnished,6.5,Villa,Yes
1640,4,1,Kharadi,3,12,Yes,Top,Furnished,9.9,Independent House,No
633,2,1,Pirangut,3,8,No,Ground,Semi-Furnished,5.6,Apartment,Yes
2605,2,2,Hadapsar Industrial Estate,1,20,Yes,Middle,Semi-Furnished,7.2,Independent House,No
1184,3,1,Pashan,4,12,No,Ground,Semi-Furnished,1.0,Independent House,No
3219,4,1,Prabhat Road,3,3,Yes,Middle,Furnished,6.5,Villa,No
2720,4,2,Market yard,1,17,No,Middle,Unfurnished,7.8,Apartment,Yes
2352,2,2,Bhavani Peth,4,28,Yes,Ground,Furnished,7.9,Independent House,Yes
1314,2,1,Khadaki,3,9,Yes,Top,Semi-Furnished,7.8,Villa,No
1672,4,2,Katraj,2,10,Yes,Middle,Semi-Furnished,2.6,Independent House,No
579,1,2,Satara Road,2,22,No,Top,Unfurnished,9.8,Independent House,Yes
3433,4,2,Prabhat Road,4,6,No,Ground,Furnished,10.0,Apartment,Yes
3784,4,1,Bhavani Peth,2,25,No,Middle,Semi-Furnished,1.2,Apartment,Yes
702,2,1,Bhavani Peth,4,1,No,Top,Furnished,9.4,Apartment,No
3311,2,1,Wagholi,1,22,Yes,Middle,Furnished,3.2,Independent House,Yes
1752,1,2,Nana Peth,1,12,Yes,Ground,Unfurnished,7.0,Apartment,No
2199,1,1,Lulla Nagar,3,5,Yes,Middle,Unfurnished,3.7,Villa,No
1750,3,2,Dhayari Phata,4,13,No,Ground,Semi-Furnished,9.7,Independent House,Yes
2182,4,1,Baner road,3,27,Yes,Top,Unfurnished,1.5,Apartment,Yes
2055,2,1,Parvati Darshan,3,15,Yes,Middle,Furnished,5.2,Independent House,No
3973,1,2,Wakadewadi,1,22,No,Top,Unfurnished,4.6,Independent House,No
2594,3,1,Senapati Bapat Road,3,11,No,Ground,Furnished,3.6,Villa,Yes
1756,3,2,Tilak Road,2,8,Yes,Ground,Semi-Furnished,6.6,Villa,No
3876,2,1,Gokhale Nagar,3,5,No,Top,Furnished,1.7,Villa,Yes
2049,2,1,Tilak Road,4,2,No,Top,Unfurnished,7.3,Independent House,Yes
1666,3,2,Law College Road,2,12,No,Ground,Unfurnished,9.8,Independent House,No
3986,1,2,Bhandarkar Road,1,28,No,Top,Semi-Furnished,8.1,Villa,No
1896,3,2,Dapodi,4,2,Yes,Ground,Unfurnished,8.7,Independent House,Yes
3830,4,1,Prabhat Road,2,26,Yes,Top,Semi-Furnished,3.9,Villa,No
3203,4,1,Mundhawa,4,16,Yes,Ground,Semi-Furnished,3.6,Villa,No
970,2,1,Mukund Nagar,2,21,Yes,Ground,Unfurnished,5.4,Apartment,Yes
3518,1,2,Narayangaon,4,3,Yes,Middle,Furnished,0.9,Villa,No
1535,1,2,Yerawada,4,10,No,Ground,Semi-Furnished,9.5,Apartment,Yes
1853,4,2,Mahatma Gandhi Road,2,19,Yes,Ground,Furnished,1.9,Villa,No
3283,3,1,Narayan Peth,1,8,Yes,Middle,Unfurnished,9.1,Independent House,Yes
3331,2,1,Kasba Peth,1,7,No,Middle,Furnished,1.3,Apartment,No
1467,3,2,Karve Nagar,4,1,No,Top,Furnished,8.3,Independent House,No
857,3,1,Khadki,4,12,No,Top,Furnished,1.9,Independent House,No
3519,3,2,Navi Peth,1,29,Yes,Ground,Furnished,0.9,Villa,No
3979,1,1,Dehu Road,1,28,No,Top,Unfurnished,7.3,Villa,No
1167,4,1,Laxmi Road,3,5,No,Top,Unfurnished,3.2,Independent House,No
872,1,2,Hadapsar,1,16,No,Ground,Furnished,7.3,Villa,No
1531,4,1,Budhwar Peth,4,25,Yes,Middle,Unfurnished,5.8,Villa,No
1645,2,1,Senapati Bapat Road,2,4,No,Middle,Unfurnished,1.5,Villa,Yes
1871,2,2,Narayangaon,1,17,No,Ground,Semi-Furnished,9.4,Independent House,No
3223,3,2,Wanowrie,3,24,Yes,Ground,Unfurnished,4.8,Apartment,No
589,4,1,Khadki,3,21,No,Ground,Furnished,7.5,Apartment,No
3245,4,2,Law College Road,3,2,Yes,Ground,Unfurnished,5.3,Independent House,No
3887,4,1,Jangali Maharaj Road,2,12,Yes,Ground,Unfurnished,6.2,Villa,No
3749,3,2,Bhavani Peth,1,1,No,Ground,Unfurnished,3.4,Villa,Yes
1039,3,1,Yerawada,1,12,Yes,Top,Unfurnished,2.4,Apartment,Yes
3279,2,1,Balaji Nagar,1,12,No,Top,Semi-Furnished,5.7,Independent House,No
1368,1,2,Mukund Nagar,2,12,No,Top,Furnished,4.7,Independent House,No
540,4,1,Alandi Road,2,19,No,Middle,Furnished,4.2,Villa,No
1239,4,1,Rasta Peth,4,25,No,Ground,Unfurnished,6.9,Villa,No
2446,1,2,Mundhawa,3,17,Yes,Ground,Unfurnished,7.1,Villa,Yes
3049,4,2,Wagholi,3,20,No,Top,Semi-Furnished,0.9,Independent House,No
3506,3,1,Dhayari Phata,1,24,No,Middle,Unfurnished,3.7,Apartment,Yes
3716,3,2,Wakadewadi,2,24,No,Top,Semi-Furnished,4.4,Independent House,No
1724,4,2,Shivaji Nagar,2,26,Yes,Ground,Furnished,1.4,Independent House,Yes
1428,3,1,Model colony,1,28,Yes,Ground,Furnished,2.7,Independent House,Yes
2536,3,1,Vadgaon Budruk,1,11,No,Top,Semi-Furnished,1.0,Apartment,Yes
3008,4,2,Dhankawadi,4,13,Yes,Top,Furnished,10.0,Villa,No
3279,2,2,Manik Bagh,3,27,Yes,Ground,Unfurnished,7.5,Villa,No
3299,1,2,Fergusson College Road,3,8,No,Top,Unfurnished,1.3,Independent House,No
1424,3,1,Ghorpade Peth,3,10,No,Ground,Semi-Furnished,0.7,Independent House,No
3456,2,1,Aundh Road,4,8,No,Top,Furnished,7.3,Apartment,No
2081,3,1,Dhayari Phata,1,20,No,Middle,Furnished,4.7,Apartment,Yes
3824,3,1,Deccan Gymkhana,1,8,No,Ground,Semi-Furnished,8.0,Villa,Yes
889,1,1,Koregaon Park,3,9,Yes,Middle,Semi-Furnished,9.3,Independent House,Yes
2117,3,1,Pune Railway Station,3,7,No,Top,Furnished,6.2,Apartment,No
3430,1,1,Mukund Nagar,4,14,No,Middle,Semi-Furnished,2.3,Apartment,Yes
755,1,2,Wanowrie,2,28,No,Top,Unfurnished,7.9,Independent House,No
1208,1,2,Dehu Road,2,2,No,Middle,Furnished,9.6,Independent House,Yes
2338,2,1,Parvati Darshan,3,25,No,Middle,Semi-Furnished,6.0,Independent House,No
2444,4,1,Anandnagar,4,11,Yes,Middle,Semi-Furnished,7.0,Independent House,Yes
2997,2,1,Khadaki,3,8,No,Ground,Semi-Furnished,3.7,Independent House,No
509,4,2,Dhayari Phata,2,13,Yes,Middle,Furnished,4.1,Independent House,Yes
3371,4,1,Kasba Peth,3,21,No,Top,Unfurnished,7.5,Apartment,Yes
1297,1,2,Paud Road,2,15,No,Top,Unfurnished,9.3,Independent House,Yes
3813,3,2,Fergusson College Road,2,28,No,Ground,Furnished,6.5,Villa,No
3822,1,2,Market yard,2,3,Yes,Ground,Semi-Furnished,8.0,Independent House,Yes
1376,3,2,Swargate,1,23,No,Top,Furnished,2.1,Villa,Yes
1528,4,2,Mahatma Gandhi Road,1,14,No,Middle,Furnished,2.5,Villa,Yes
3690,1,1,Kharadi,3,15,No,Top,Semi-Furnished,5.6,Villa,No
1515,3,1,Tilak Road,2,2,No,Ground,Furnished,2.2,Independent House,Yes
2324,2,2,Model colony,1,29,No,Ground,Unfurnished,6.5,Independent House,No
873,3,1,Market yard,3,19,No,Top,Furnished,3.3,Villa,Yes
3636,1,2,Vadgaon Budruk,3,12,No,Middle,Semi-Furnished,8.0,Independent House,Yes
2693,2,2,Pune Railway Station,3,25,Yes,Middle,Furnished,8.2,Apartment,No
723,3,1,Satara Road,3,20,No,Ground,Unfurnished,4.9,Apartment,No
1762,3,1,Vadgaon Budruk,3,4,No,Top,Furnished,2.2,Apartment,Yes
2724,3,1,Sadashiv Peth,4,3,No,Top,Furnished,6.6,Apartment,No
2302,3,1,Shukrawar Peth,2,5,Yes,Ground,Furnished,9.9,Independent House,No
1352,3,1,Pashan,3,3,Yes,Top,Furnished,6.4,Villa,No
3853,2,2,Dehu Road,4,25,No,Ground,Semi-Furnished,0.8,Independent House,Yes
562,4,1,Somwar Peth,2,15,Yes,Middle,Unfurnished,0.7,Apartment,Yes
1740,2,1,Baner,1,19,No,Middle,Unfurnished,3.5,Independent House,Yes
3374,2,1,Navi Peth,3,2,No,Top,Unfurnished,2.4,Independent House,No
3342,2,2,Khadaki,4,12,Yes,Middle,Furnished,8.2,Apartment,No
1188,4,1,Khadaki,1,5,No,Middle,Unfurnished,8.5,Villa,No
1984,1,2,Nagar Road,4,22,Yes,Ground,Semi-Furnished,3.0,Independent House,No
2133,4,1,Dhankawadi,2,17,Yes,Ground,Furnished,3.6,Independent House,Yes
2652,2,1,Sadashiv Peth,2,14,Yes,Top,Furnished,2.7,Apartment,No
3670,3,2,Dapodi,1,28,No,Ground,Unfurnished,9.1,Villa,Yes
1010,3,1,Ganeshkhind,4,27,No,Top,Furnished,5.3,Apartment,No
884,2,1,Koregaon Park,3,22,No,Top,Furnished,6.7,Apartment,Yes
904,3,2,Ambegaon Budruk,3,10,No,Ground,Unfurnished,4.4,Independent House,Yes
3370,2,1,Navi Peth,1,3,No,Middle,Semi-Furnished,6.5,Villa,No
1017,3,2,Narayangaon,1,4,No,Middle,Semi-Furnished,4.2,Apartment,No
975,4,2,Dehu Road,1,6,No,Middle,Unfurnished,3.7,Independent House,No
2500,1,2,Dapodi,4,24,Yes,Middle,Semi-Furnished,6.5,Apartment,Yes
3256,1,2,Prabhat Road,3,25,No,Top,Semi-Furnished,6.1,Independent House,No
2168,4,2,Karve Road,3,22,No,Middle,Semi-Furnished,3.3,Villa,Yes
2393,4,1,Sinhagad Road,3,16,No,Top,Furnished,1.9,Apartment,No
3318,2,1,Rasta Peth,1,7,Yes,Ground,Furnished,4.0,Villa,Yes
1960,2,1,Shukrawar Peth,3,15,Yes,Ground,Furnished,4.4,Villa,No
3594,2,2,Karve Road,2,21,Yes,Top,Semi-Furnished,6.5,Independent House,Yes
3544,3,2,Jangali Maharaj Road,1,28,No,Middle,Furnished,9.2,Apartment,Yes
3224,2,2,Kasba Peth,3,25,Yes,Top,Semi-Furnished,0.8,Apartment,Yes
1213,4,2,Kondhwa,4,20,Yes,Middle,Unfurnished,2.8,Independent House,No
582,1,1,Aundh,1,26,No,Middle,Semi-Furnished,2.3,Independent House,Yes
1668,3,1,Fergusson College Road,2,11,No,Top,Furnished,5.3,Villa,No
3656,2,2,Prabhat Road,2,22,No,Top,Semi-Furnished,4.6,Apartment,Yes
3649,3,2,Gokhale Nagar,4,21,Yes,Middle,Furnished,7.4,Apartment,No
3004,3,1,Sasson Road,4,1,No,Top,Furnished,2.8,Independent House,No
2401,2,2,Pirangut,1,5,No,Middle,Unfurnished,6.1,Independent House,Yes
2548,3,2,Viman Nagar,1,13,No,Top,Unfurnished,8.9,Independent House,Yes
550,1,2,Ghorpadi,2,21,No,Ground,Furnished,9.2,Apartment,No
1184,4,1,Sadashiv Peth,4,14,No,Middle,Semi-Furnished,9.6,Apartment,Yes
1216,4,1,Pirangut,1,9,No,Ground,Unfurnished,7.8,Villa,No
1969,1,2,Lulla Nagar,2,17,Yes,Top,Unfurnished,9.1,Independent House,No
948,3,1,Fatima Nagar,4,15,No,Ground,Furnished,2.7,Villa,No
1380,2,2,Bund Garden Road,2,21,Yes,Top,Semi-Furnished,2.4,Apartment,No
987,3,2,Prabhat Road,3,7,Yes,Middle,Unfurnished,0.6,Villa,No
2323,1,1,Deccan Gymkhana,4,27,No,Top,Unfurnished,7.2,Villa,No
2581,3,2,Khadaki,1,22,Yes,Top,Semi-Furnished,9.4,Villa,No
3919,4,2,Mukund Nagar,1,22,Yes,Middle,Unfurnished,2.3,Independent House,No
2642,3,1,Somwar Peth,3,12,Yes,Top,Semi-Furnished,6.6,Apartment,No
3643,1,2,Bopodi,4,23,No,Middle,Furnished,7.6,Independent House,Yes
2074,4,2,Sinhagad Road,2,6,Yes,Top,Unfurnished,9.3,Villa,No
2701,3,2,Dapodi,1,21,Yes,Middle,Furnished,6.6,Independent House,No
749,3,1,Gokhale Nagar,3,16,Yes,Ground,Semi-Furnished,9.7,Apartment,No
1173,4,2,Viman Nagar,3,26,Yes,Top,Furnished,3.8,Apartment,Yes
937,2,1,Salunke Vihar,4,5,No,Top,Furnished,3.8,Villa,Yes
2665,4,2,Erandwane,4,9,No,Top,Furnished,5.7,Villa,Yes
1270,2,2,Shukrawar Peth,1,14,Yes,Middle,Semi-Furnished,4.1,Independent House,Yes
3877,1,2,Alandi Road,3,8,No,Top,Semi-Furnished,0.5,Apartment,Yes
767,1,2,Shaniwar Peth,2,14,No,Middle,Semi-Furnished,7.5,Apartment,Yes
2484,4,1,Guruwar peth,3,12,Yes,Top,Semi-Furnished,7.6,Independent House,No
1577,4,1,Bhandarkar Road,2,10,No,Ground,Semi-Furnished,7.6,Apartment,Yes
735,1,2,Camp,2,20,No,Top,Unfurnished,3.8,Villa,Yes
888,2,2,Ghorpade Peth,1,20,Yes,Ground,Unfurnished,5.5,Villa,Yes
3537,1,2,Fatima Nagar,3,26,Yes,Middle,Unfurnished,3.9,Independent House,Yes
1262,4,2,Nana Peth,2,21,No,Ground,Furnished,0.7,Independent House,Yes
2348,1,2,Hingne Khurd,4,13,No,Top,Furnished,5.8,Independent House,No
2948,4,2,Uruli Devachi,2,29,No,Top,Semi-Furnished,1.7,Villa,No
1123,4,2,Ganeshkhind,4,19,No,Middle,Semi-Furnished,1.3,Independent House,Yes
3314,1,2,Somwar Peth,4,15,Yes,Top,Unfurnished,7.7,Apartment,No
3874,2,1,Sasson Road,3,8,Yes,Top,Semi-Furnished,0.6,Independent House,Yes
3466,3,1,Dhankawadi,4,23,Yes,Middle,Furnished,9.6,Apartment,No
3778,1,1,Parvati Darshan,2,21,Yes,Middle,Semi-Furnished,5.4,Villa,No
1752,3,2,Tilak Road,4,10,Yes,Ground,Unfurnished,9.8,Apartment,Yes
3400,1,2,Law College Road,3,3,No,Middle,Semi-Furnished,1.1,Apartment,Yes
1077,3,2,Alandi Road,1,21,No,Top,Furnished,6.0,Apartment,Yes
2622,2,1,Bhavani Peth,2,3,Yes,Middle,Unfurnished,3.8,Villa,No
934,2,2,Koregaon Park,2,26,Yes,Top,Semi-Furnished,8.5,Apartment,No
2650,1,1,Nagar Road,3,5,Yes,Ground,Furnished,3.9,Apartment,Yes
3993,4,2,Narayangaon,3,16,No,Middle,Unfurnished,3.0,Independent House,Yes
1263,3,1,Uruli Devachi,3,17,No,Top,Unfurnished,8.6,Independent House,No
3285,4,1,Deccan Gymkhana,3,6,No,Middle,Furnished,4.1,Independent House,Yes
3353,4,1,Kondhwa Budruk,2,26,Yes,Middle,Semi-Furnished,0.7,Apartment,No
1829,4,2,Guruwar peth,1,20,Yes,Middle,Semi-Furnished,4.2,Apartment,No
2645,2,1,Ganeshkhind,4,20,Yes,Middle,Semi-Furnished,6.7,Villa,Yes
3345,1,2,Wakadewadi,4,16,Yes,Ground,Unfurnished,2.9,Apartment,No
1858,1,2,Deccan Gymkhana,1,24,Yes,Top,Unfurnished,4.6,Apartment,No
3406,2,2,Karve Road,1,2,No,Middle,Semi-Furnished,1.0,Villa,No
2982,2,2,Law College Road,1,20,Yes,Top,Unfurnished,6.1,Apartment,No
946,1,2,Wanowrie,3,15,No,Ground,Unfurnished,7.7,Villa,Yes
2517,4,1,Sinhagad Road,2,18,No,Top,Furnished,4.4,Villa,No
1831,3,2,Kharadi,2,1,No,Top,Semi-Furnished,4.5,Independent House,Yes
748,3,2,Raviwar Peth,2,26,No,Ground,Semi-Furnished,1.3,Apartment,No
665,3,2,Manik Bagh,3,29,No,Middle,Semi-Furnished,2.4,Independent House,Yes
